代码,名称,收盘价,市盈率,市净率,净资产收益率,总股本,流通股本,上市时间
000001.XSHE,平安银行,10.7,2,2,2,14308676139,11797404333,1991-04-03
000002.XSHE,万  科Ａ,0,3,3,3,9724176533,9704450347,1991-01-29
000004.XSHE,国农科技,36.83,4,4,4,83976684,82903548,1990-12-01
000005.XSHE,世纪星源,7.94,5,5,5,1058536842,912328931,1990-12-10
000006.XSHE,深振业Ａ,8.55,6,6,6,1349995046,1343885897,1992-04-27
000007.XSHE,全新好,0,7,7,7,230965363,205604801,1992-04-13
000008.XSHE,神州高铁,10.17,8,8,8,2757709279,1496545518,1992-05-07
000009.XSHE,中国宝安,13.23,9,9,9,1592107386,1554285450,1991-06-25
000010.XSHE,深华新,8.89,10,10,10,819854713,407154317,1995-10-27
000011.XSHE,深物业A,14.92,11,11,11,528373849,175831365,1992-03-30
000012.XSHE,南  玻Ａ,10.85,12,12,12,1312751568,1304061716,1992-02-28
000014.XSHE,沙河股份,18.57,13,13,13,201705187,201700249,1992-06-02
000016.XSHE,深康佳Ａ,0,14,14,14,1596593800,1595621780,1992-03-27
000017.XSHE,深中华A,12.7,15,15,15,302984965,302967139,1992-03-31
000018.XSHE,神州长城,48.66,16,16,16,377484679,99374824,1992-06-16
000019.XSHE,深深宝Ａ,18.8,17,17,17,269716984,251915307,1992-10-12
000020.XSHE,深华发Ａ,25.5,18,18,18,181165391,181146183,1992-04-28
000021.XSHE,深科技,9.1,19,19,19,1471259363,1469812794,1994-02-02
000022.XSHE,深赤湾Ａ,17.7,20,20,20,464868300,464864749,1993-05-05
000023.XSHE,深天地Ａ,0,21,21,21,138756240,138755940,1993-04-29
000025.XSHE,特  力Ａ,68.03,22,22,22,270881600,179294044,1993-06-21
000026.XSHE,飞亚达Ａ,12.91,23,23,23,357096881,311070137,1993-06-03
000027.XSHE,深圳能源,7.26,24,24,24,3964491597,3964491597,1993-09-03
000028.XSHE,国药一致,0,25,25,25,307746343,233261812,1993-08-09
000029.XSHE,深深房Ａ,12.04,26,26,26,891660000,891592500,1993-09-15
000030.XSHE,富奥股份,7.58,27,27,27,1259095140,561689790,1993-09-29
000031.XSHE,中粮地产,11.4,28,28,28,1813731596,1813722958,1993-10-08
000032.XSHE,深桑达Ａ,21.53,29,29,29,351878445,232863239,1993-10-28
000033.XSHE,*ST新都,0,30,30,30,329402050,329400349,1994-01-03
000034.XSHE,深信泰丰,0,31,31,31,654070434,340054000,1994-05-09
000035.XSHE,中国天楹,12.38,32,32,32,619278871,405800801,1994-04-08
000036.XSHE,华联控股,8.3,33,33,33,1140487712,1123882733,1994-06-17
000037.XSHE,深南电Ａ,10.31,34,34,34,338908150,338891172,1994-07-01
000038.XSHE,深大通,0,35,35,35,192064001,37731440,1994-08-08
000039.XSHE,中集集团,15.67,36,36,36,1261701777,1260861626,1994-04-08
000040.XSHE,宝安地产,10.85,37,37,37,469593364,464576042,1994-08-08
000042.XSHE,中洲控股,16.76,38,38,38,665069639,478846963,1994-09-21
000043.XSHE,中航地产,9.21,39,39,39,666961416,666780666,1994-09-28
000045.XSHE,深纺织Ａ,12.57,40,40,40,457021849,405563873,1994-08-15
000046.XSHE,泛海控股,11.18,41,41,41,5196200656,4549886929,1994-09-12
000048.XSHE,康达尔,32.98,42,42,42,390768671,381981118,1994-11-01
000049.XSHE,德赛电池,39.01,43,43,43,205243738,205243738,1995-03-20
000050.XSHE,深天马Ａ,17.05,44,44,44,1401098744,943086454,1995-03-15
000055.XSHE,方大集团,12.5,45,45,45,420958717,419986675,1996-04-15
000056.XSHE,皇庭国际,27.84,46,46,46,451866604,143055590,1996-07-08
000058.XSHE,深 赛 格,12.97,47,47,47,538337692,538266003,1996-12-26
000059.XSHE,*ST华锦,7.45,48,48,48,1599442537,1399970996,1997-01-30
000060.XSHE,中金岭南,11.8,49,49,49,2212627938,2211487479,1997-01-23
000061.XSHE,农 产 品,13,50,50,50,1696964131,1691526521,1997-01-10
000062.XSHE,深圳华强,28.54,51,51,51,721316774,666949797,1997-01-30
000063.XSHE,中兴通讯,0,52,52,52,3397968631,3389436121,1997-11-18
000065.XSHE,北方国际,27.69,53,53,53,274371762,253401907,1998-06-05
000066.XSHE,长城电脑,14.75,54,54,54,1323593886,1323570126,1997-06-26
000068.XSHE,*ST华赛,9.89,55,55,55,1006671464,896671464,1997-06-11
000069.XSHE,华侨城Ａ,7.07,56,56,56,8205681415,6118524913,1997-09-10
000070.XSHE,特发信息,24.49,57,57,57,313497373,258634376,2000-05-11
000078.XSHE,海王生物,17.08,58,58,58,752513855,730277513,1998-12-18
000088.XSHE,盐 田 港,7.05,59,59,59,1942200000,1942145797,1997-07-28
000089.XSHE,深圳机场,7.58,60,60,60,2050769509,2050769509,1998-04-20
000090.XSHE,天健集团,13.96,61,61,61,855561097,552530044,1999-07-21
000096.XSHE,广聚能源,13.95,62,62,62,528000000,510848000,2000-07-24
000099.XSHE,中信海直,12.03,63,63,63,606070420,606070420,2000-07-31
000100.XSHE,TCL 集团,3.93,64,64,64,12213681742,9001315746,2004-01-30
000150.XSHE,宜华健康,26.98,65,65,65,447804877,331512195,2000-08-07
000151.XSHE,中成股份,19.34,66,66,66,295980000,266543967,2000-09-06
000153.XSHE,丰原药业,0,67,67,67,312141230,311977230,2000-09-20
000155.XSHE,*ST川化,8.05,68,68,68,470000000,470000000,2000-09-26
000156.XSHE,华数传媒,20.71,69,69,69,1433351902,546868435,2000-09-06
000157.XSHE,中联重科,4.61,70,70,70,6275925164,6265568472,2000-10-12
000158.XSHE,常山股份,12.66,71,71,71,1271442278,718676050,2000-07-24
000159.XSHE,国际实业,0,72,72,72,481139294,481081919,2000-09-26
000166.XSHE,申万宏源,9.14,73,73,73,14856744977,5299630352,2015-01-26
000301.XSHE,东方市场,4.77,74,74,74,1218236445,1218236445,2000-05-29
000333.XSHE,美的集团,30.28,75,75,75,4267391228,2241047478,2013-09-18
000338.XSHE,潍柴动力,8.22,76,76,76,3027099278,2092169774,2007-04-30
000400.XSHE,许继电气,14.37,77,77,77,1008327309,737446047,1997-04-18
